AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.45	60	0	0.008333	9.7	9.7	2018/04/18	IP
TJKV06M.20	60	0	0.008333	17.9	17.9	2018/04/18	IP
TJKV06M.06	60	0	0.008333	23.3	23.3	2018/04/18	IP
TJKV06M.07	60	0	0.008333	26.6	26.6	2018/04/18	IP
TJKV06M.11	60	0	0.008333	20.4	20.4	2018/04/18	IP
TJKV06M.13	60	0	0.008333	16.5	16.5	2018/04/18	IP
TJKV06M.15	60	0.266765944499927	0.266765944499927	20.3	20.3	2018/04/18	IP
TJKV06M.18	60	0	0.008333	23.9	23.9	2018/04/18	IP
TJKV06M.02	60	0.214273946466741	0.214273946466741	15.1	15.1	2018/04/18	IP
TJKV06M.26	60	0.844289175973345	0.844289175973345	13.8	13.8	2018/04/18	IP
TJKV06M.32	60	0.877203237865109	0.877203237865109	6.2	6.2	2018/04/18	IP
TJKV06M.35	60	0.543399705610581	0.543399705610581	13.2	13.2	2018/04/18	IP
TJKV06M.36	60	2.34490754994184	2.34490754994184	15.5	15.5	2018/04/18	IP
TJKV06M.37	60	2.41231093991209	2.41231093991209	7	7	2018/04/18	IP
TJKV06M.38	60	1.54795064328073	1.54795064328073	11.7	11.7	2018/04/18	IP
TJKV06M.47	60	1.92971071908016	1.92971071908016	6.7	6.7	2018/04/18	IP
TJKV06M.48	60	0.895076125376222	0.895076125376222	8.9	8.9	2018/04/18	IP
TJKV06M.10	60	0.667231735696208	0.667231735696208	19.8	19.8	2018/04/18	IP
TJKV06M.08	60	1.22075968134493	1.22075968134493	24.1	24.1	2018/04/18	IP
TJKV06M.12	60	1.22477474953996	1.22477474953996	28.4	28.4	2018/04/18	IP
TJKV06M.14	60	0.781703679364469	0.781703679364469	23	23	2018/04/18	IP
TJKV06M.16	60	1.88913725513976	1.88913725513976	13.4	13.4	2018/04/18	IP
TJKV06M.17	60	0.707903110236968	0.707903110236968	13.5	13.5	2018/04/18	IP
TJKV06M.21	60	0.711529107761332	0.711529107761332	20.5	20.5	2018/04/18	IP
TJKV06M.25	0	0	0.008333	3.2	3.2	2018/04/30	IP
TJKV06M.27	0	0	0.008333	3.1	3.1	2018/04/30	IP
TJKV06M.31	0	0	0.008333	4.4	4.4	2018/04/30	IP
TJKV06M.33	0	0	0.008333	4.2	4.2	2018/04/30	IP
TJKV06M.40	0	0	0.008333	4.6	4.6	2018/04/30	IP
TJKV06M.44	0	0	0.008333	3.8	3.8	2018/04/30	IP
TJKV06M.46	0	0	0.008333	3.2	3.2	2018/04/30	IP
TJKV06M.30	0	0	0.008333	6	6	2018/04/30	IP
TJKV06M.04	0	0.655903994929505	0.655903994929505	5.4	5.4	2018/04/30	IP
TJKV06M.05	0	0	0.008333	6.2	6.2	2018/04/30	IP
TJKV06M.01	0	0	0.008333	5.1	5.1	2018/04/30	IP
TJKV06M.19	0	0	0.008333	3.9	3.9	2018/04/30	IP
TJKV06M.22	0	0	0.008333	4.6	4.6	2018/04/30	IP
TJKV06M.23	0	0	0.008333	4.4	4.4	2018/04/30	IP
TJKV06M.24	0	0	0.008333	3.6	3.6	2018/04/30	IP
TJKV06M.28	0	0	0.008333	3.7	3.7	2018/04/30	IP
TJKV06M.29	0	0.656936476374781	0.656936476374781	5.2	5.2	2018/04/30	IP
TJKV06M.03	0	0	0.008333	5.1	5.1	2018/04/30	IP
TJKV06M.34	0	0	0.008333	4.4	4.4	2018/04/30	IP
TJKV06M.42	0	0	0.008333	3.9	3.9	2018/04/30	IP
TJKV06M.43	0	0	0.008333	4.6	4.6	2018/04/30	IP
TJKV06M.41	0	0	0.008333	4.7	4.7	2018/04/30	IP
TJKV06M.45	0	0	0.008333	3.1	3.1	2018/04/30	IP
TJKV06M.20	0	0	0.008333	4.6	4.6	2018/04/30	IP
TJKV06M.06	0	0.91982009403844	0.91982009403844	5.4	5.4	2018/04/30	IP
TJKV06M.07	0	0	0.008333	6	6	2018/04/30	IP
TJKV06M.11	0	0	0.008333	4.4	4.4	2018/04/30	IP
TJKV06M.13	0	0	0.008333	4.7	4.7	2018/04/30	IP
TJKV06M.15	0	0	0.008333	5.4	5.4	2018/04/30	IP
TJKV06M.18	0	0	0.008333	5.3	5.3	2018/04/30	IP
TJKV06M.02	0	1.10664824316595	1.10664824316595	3.2	3.2	2018/04/30	IP
TJKV06M.26	0	0	0.008333	3.6	3.6	2018/04/30	IP
TJKV06M.32	0	0	0.008333	4.2	4.2	2018/04/30	IP
TJKV06M.35	0	0.92650190343092	0.92650190343092	3.7	3.7	2018/04/30	IP
TJKV06M.36	0	0	0.008333	3.8	3.8	2018/04/30	IP
TJKV06M.37	0	0.408264371116949	0.408264371116949	5	5	2018/04/30	IP
TJKV06M.38	0	0	0.008333	4.2	4.2	2018/04/30	IP
TJKV06M.47	0	0.181741540492576	0.181741540492576	4.8	4.8	2018/04/30	IP
TJKV06M.48	0	0	0.008333	4.4	4.4	2018/04/30	IP
TJKV06M.10	0	0	0.008333	5.1	5.1	2018/04/30	IP
TJKV06M.08	0	0.874715791413449	0.874715791413449	4.2	4.2	2018/04/30	IP
TJKV06M.12	0	0.521708254609631	0.521708254609631	4.6	4.6	2018/04/30	IP
TJKV06M.14	0	0	0.008333	6.3	6.3	2018/04/30	IP
TJKV06M.16	0	0	0.008333	4.7	4.7	2018/04/30	IP
TJKV06M.17	0	0	0.008333	3.5	3.5	2018/04/30	IP
TJKV06M.21	0	0.896602339179634	0.896602339179634	4.7	4.7	2018/04/30	IP
TJKV06M.25	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.27	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.31	30	0.263383169028565	0.263383169028565	24.3	24.3	2018/04/30	IP
TJKV06M.33	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.40	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.44	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.46	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.30	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.04	30	0.345111268425666	0.345111268425666	33.3	147	2018/04/30	IP
TJKV06M.05	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.01	30	0.408697434335652	0.408697434335652	33.3	147	2018/04/30	IP
