AnimalID	BW	BG	Date
TJKV06M.35	19.2	8.2	2018/03/28
TJKV06M.36	22.6	7.5	2018/03/28
TJKV06M.37	22.9	8	2018/03/28
TJKV06M.38	24.2	8	2018/03/28
TJKV06M.47	20.8	8.7	2018/03/28
TJKV06M.48	20.5	7.4	2018/03/28
TJKV06M.30	29.2	9.4	2018/04/04
TJKV06M.04	26.2	9.5	2018/04/04
TJKV06M.05	30.8	9	2018/04/04
TJKV06M.01	24.5	9	2018/04/04
TJKV06M.19	27.4	9.3	2018/04/04
TJKV06M.22	28.7	9.9	2018/04/04
TJKV06M.23	29.2	9.3	2018/04/04
TJKV06M.24	25.1	7.8	2018/04/04
TJKV06M.25	21.1	7.9	2018/04/04
TJKV06M.27	20	8.8	2018/04/04
TJKV06M.31	19.3	9.9	2018/04/04
TJKV06M.33	25.3	11.1	2018/04/04
TJKV06M.40	23.8	7.2	2018/04/04
TJKV06M.44	26	8.6	2018/04/04
TJKV06M.46	25	7.2	2018/04/04
TJKV06M.20	24.5	9.2	2018/04/04
TJKV06M.06	24.3	9.9	2018/04/04
TJKV06M.07	27.8	9.5	2018/04/04
TJKV06M.11	25.7	7.9	2018/04/04
TJKV06M.13	25.8	8.7	2018/04/04
TJKV06M.15	27.5	9.5	2018/04/04
TJKV06M.18	26.4	9.8	2018/04/04
TJKV06M.02	22.7	9.7	2018/04/04
TJKV06M.28	21.3	7.7	2018/04/04
TJKV06M.29	20.8	6.7	2018/04/04
TJKV06M.03	21.7	9.1	2018/04/04
TJKV06M.34	20.9	9.2	2018/04/04
TJKV06M.42	20.6	6.3	2018/04/04
TJKV06M.43	21.9	7	2018/04/04
TJKV06M.41	22.2	5.7	2018/04/04
TJKV06M.45	25.5	6.4	2018/04/04
TJKV06M.10	27.5	8.8	2018/04/04
TJKV06M.08	24.8	8.4	2018/04/04
TJKV06M.12	27.6	9	2018/04/04
TJKV06M.14	30.3	9.4	2018/04/04
TJKV06M.16	27.8	9.2	2018/04/04
TJKV06M.17	25	7.7	2018/04/04
TJKV06M.21	26.3	8.8	2018/04/04
TJKV06M.26	21.5	5.8	2018/04/04
TJKV06M.32	21.3	9.5	2018/04/04
TJKV06M.35	21.4	8.8	2018/04/04
TJKV06M.36	23.5	7.1	2018/04/04
TJKV06M.37	22	7.5	2018/04/04
TJKV06M.38	25.9	9.3	2018/04/04
TJKV06M.47	23.8	7.9	2018/04/04
TJKV06M.48	22.2	7	2018/04/04
TJKV06M.30	29.2	9.2	2018/04/11
TJKV06M.04	27	9.2	2018/04/11
TJKV06M.05	31.5	8.9	2018/04/11
TJKV06M.01	25.5	11.4	2018/04/11
TJKV06M.19	27.8	9.3	2018/04/11
TJKV06M.22	29	9.9	2018/04/11
TJKV06M.23	29.3	8.8	2018/04/11
TJKV06M.24	24.8	8	2018/04/11
TJKV06M.25	22.1	7.5	2018/04/11
TJKV06M.27	19.9	8.4	2018/04/11
TJKV06M.31	18.9	6.8	2018/04/11
TJKV06M.33	24.7	8.2	2018/04/11
TJKV06M.40	22.9	6.9	2018/04/11
TJKV06M.44	24.5	7.1	2018/04/11
TJKV06M.46	24.2	6.2	2018/04/11
TJKV06M.20	24.4	7.8	2018/04/11
TJKV06M.06	24.7	9.2	2018/04/11
TJKV06M.07	28.8	10.2	2018/04/11
TJKV06M.11	25.3	7.4	2018/04/11
TJKV06M.13	26.3	8.6	2018/04/11
TJKV06M.15	28.6	8.4	2018/04/11
TJKV06M.18	27.2	8.7	2018/04/11
TJKV06M.02	23.4	9	2018/04/11
TJKV06M.28	21.8	7.5	2018/04/11
TJKV06M.29	21.3	6.7	2018/04/11
TJKV06M.03	21.6	7	2018/04/11
TJKV06M.34	20.6	7.2	2018/04/11
TJKV06M.42	19.6	5.8	2018/04/11
TJKV06M.43	22.8	6	2018/04/11
TJKV06M.41	22.6	7.1	2018/04/11
TJKV06M.45	23.5	7.3	2018/04/11
TJKV06M.10	28.2	10.2	2018/04/11
TJKV06M.08	25.7	8.6	2018/04/11
TJKV06M.12	28.1	9.1	2018/04/11
TJKV06M.14	31.8	10.7	2018/04/11
TJKV06M.16	28.3	9.3	2018/04/11
TJKV06M.17	25.2	9.6	2018/04/11
TJKV06M.21	26.3	9.3	2018/04/11
TJKV06M.26	21.9	7.2	2018/04/11
TJKV06M.32	20.5	6.9	2018/04/11
TJKV06M.35	20.2	8.2	2018/04/11
TJKV06M.36	23	8.3	2018/04/11
TJKV06M.37	21.8	7.7	2018/04/11
TJKV06M.38	24.4	8.3	2018/04/11
TJKV06M.47	21.9	7.3	2018/04/11
TJKV06M.48	20.8	6.5	2018/04/11
TJKV06M.30	30.7	9.6	2018/04/25
TJKV06M.04	28.4	8.9	2018/04/25
TJKV06M.05	32.2	10.7	2018/04/25
TJKV06M.01	26.3	11	2018/04/25
TJKV06M.19	27.7	9.2	2018/04/25
TJKV06M.22	30.1	8.8	2018/04/25
TJKV06M.23	30.4	9.3	2018/04/25
TJKV06M.24	25.7	8.4	2018/04/25
TJKV06M.25	21.1	8.5	2018/04/25
TJKV06M.27	20.5	8	2018/04/25
TJKV06M.31	19.8	6.9	2018/04/25
TJKV06M.33	26	7.9	2018/04/25
TJKV06M.40	22.4	6.9	2018/04/25
TJKV06M.44	25	9.2	2018/04/25
TJKV06M.46	25.2	5.9	2018/04/25
TJKV06M.20	26	9.2	2018/04/25
TJKV06M.06	25.8	9.7	2018/04/25
TJKV06M.07	28.8	10.2	2018/04/25
TJKV06M.11	26.1	9.3	2018/04/25
TJKV06M.13	26.9	8.4	2018/04/25
TJKV06M.15	29.5	9.3	2018/04/25
TJKV06M.18	27.2	6.9	2018/04/25
TJKV06M.02	24.2	7.5	2018/04/25
TJKV06M.28	21.9	7.4	2018/04/25
TJKV06M.29	21.6	8.2	2018/04/25
TJKV06M.03	22.7	7.2	2018/04/25
TJKV06M.34	21.4	5.9	2018/04/25
TJKV06M.42	20.6	5.3	2018/04/25
TJKV06M.43	22.3	7.5	2018/04/25
TJKV06M.41	22.8	5.6	2018/04/25
TJKV06M.45	24.2	5.6	2018/04/25
TJKV06M.10	30.4	10.5	2018/04/25
TJKV06M.08	28.1	9.8	2018/04/25
TJKV06M.12	28.5	10.3	2018/04/25
TJKV06M.14	32.6	11.8	2018/04/25
TJKV06M.16	28.1	8.9	2018/04/25
TJKV06M.17	26.4	9	2018/04/25
TJKV06M.21	26.2	7.3	2018/04/25
TJKV06M.26	22.3	7.4	2018/04/25
TJKV06M.32	22.3	6.2	2018/04/25
TJKV06M.35	21.2	6.4	2018/04/25
TJKV06M.36	24.2	6.2	2018/04/25
TJKV06M.37	21.7	5.6	2018/04/25
TJKV06M.38	24.4	6.8	2018/04/25
TJKV06M.47	22.1	4.7	2018/04/25
TJKV06M.48	22.4	5	2018/04/25
